,symbol,date,1. open_x,2. high_x,3. low_x,4. close_x,5. volume,daily_return,currencyPair,1. open_y,2. high_y,3. low_y,4. close_y
653,MSFT,2024-01-09,372.01,375.99,371.19,375.79,20829953.0,-1.8235493899730781,GBPUSD,1.27484,1.27648,1.26889,1.27098
654,GOOGL,2024-01-09,138.5,141.485,138.15,140.95,24759598.0,-0.9347764970480843,EURUSD,1.09501,1.09663,1.09101,1.0931
655,GOOGL,2024-01-09,138.5,141.485,138.15,140.95,24759598.0,-0.9347764970480843,USDJPY,144.224,144.623,143.416,144.47
656,GOOGL,2024-01-09,138.5,141.485,138.15,140.95,24759598.0,-0.9347764970480843,GBPUSD,1.27484,1.27648,1.26889,1.27098
657,AAPL,2024-01-08,182.085,185.6,181.5,185.56,59144470.0,0.22685535270607904,EURUSD,1.09446,1.09788,1.09224,1.09495
658,AAPL,2024-01-08,182.085,185.6,181.5,185.56,59144470.0,0.22685535270607904,USDJPY,144.566,144.919,143.656,144.222
659,AAPL,2024-01-08,182.085,185.6,181.5,185.56,59144470.0,0.22685535270607904,GBPUSD,1.27202,1.27671,1.26729,1.27472
660,MSFT,2024-01-08,369.3,375.2,369.01,374.69,23133967.0,-0.29271667686741054,EURUSD,1.09446,1.09788,1.09224,1.09495
661,MSFT,2024-01-08,369.3,375.2,369.01,374.69,23133967.0,-0.29271667686741054,USDJPY,144.566,144.919,143.656,144.222
662,MSFT,2024-01-08,369.3,375.2,369.01,374.69,23133967.0,-0.29271667686741054,GBPUSD,1.27202,1.27671,1.26729,1.27472
663,GOOGL,2024-01-08,136.29,139.01,136.26,138.84,21403982.0,-1.4969847463639496,EURUSD,1.09446,1.09788,1.09224,1.09495
664,GOOGL,2024-01-08,136.29,139.01,136.26,138.84,21403982.0,-1.4969847463639496,USDJPY,144.566,144.919,143.656,144.222
665,GOOGL,2024-01-08,136.29,139.01,136.26,138.84,21403982.0,-1.4969847463639496,GBPUSD,1.27202,1.27671,1.26729,1.27472
666,AAPL,2024-01-05,181.99,182.76,180.17,181.18,62196924.0,-2.3604225048501792,EURUSD,1.0944,1.09984,1.08767,1.09392
667,AAPL,2024-01-05,181.99,182.76,180.17,181.18,62196924.0,-2.3604225048501792,USDJPY,144.621,145.976,143.801,144.603
668,AAPL,2024-01-05,181.99,182.76,180.17,181.18,62196924.0,-2.3604225048501792,GBPUSD,1.26819,1.27709,1.26106,1.27173
669,MSFT,2024-01-05,368.97,372.06,366.5,367.75,20074451.0,-1.8521978168619335,EURUSD,1.0944,1.09984,1.08767,1.09392
670,MSFT,2024-01-05,368.97,372.06,366.5,367.75,20074451.0,-1.8521978168619335,USDJPY,144.621,145.976,143.801,144.603
671,MSFT,2024-01-05,368.97,372.06,366.5,367.75,20074451.0,-1.8521978168619335,GBPUSD,1.26819,1.27709,1.26106,1.27173
672,GOOGL,2024-01-05,136.745,137.1558,135.15,135.73,21661914.0,-2.239988475943544,EURUSD,1.0944,1.09984,1.08767,1.09392
673,GOOGL,2024-01-05,136.745,137.1558,135.15,135.73,21661914.0,-2.239988475943544,USDJPY,144.621,145.976,143.801,144.603
674,GOOGL,2024-01-05,136.745,137.1558,135.15,135.73,21661914.0,-2.239988475943544,GBPUSD,1.26819,1.27709,1.26106,1.27173
675,AAPL,2024-01-04,182.15,183.0872,180.88,181.91,71983570.0,0.402914228943585,EURUSD,1.09209,1.09722,1.09142,1.09447
676,AAPL,2024-01-04,182.15,183.0872,180.88,181.91,71983570.0,0.402914228943585,USDJPY,143.277,144.85,142.85,144.624
677,AAPL,2024-01-04,182.15,183.0872,180.88,181.91,71983570.0,0.402914228943585,GBPUSD,1.26636,1.27298,1.26564,1.26818
678,MSFT,2024-01-04,370.665,373.1,367.17,367.94,20901502.0,0.05166553365056892,EURUSD,1.09209,1.09722,1.09142,1.09447
679,MSFT,2024-01-04,370.665,373.1,367.17,367.94,20901502.0,0.05166553365056892,USDJPY,143.277,144.85,142.85,144.624
680,MSFT,2024-01-04,370.665,373.1,367.17,367.94,20901502.0,0.05166553365056892,GBPUSD,1.26636,1.27298,1.26564,1.26818
681,GOOGL,2024-01-04,138.42,139.16,136.35,136.39,27137735.0,0.4862594857437452,EURUSD,1.09209,1.09722,1.09142,1.09447
682,GOOGL,2024-01-04,138.42,139.16,136.35,136.39,27137735.0,0.4862594857437452,USDJPY,143.277,144.85,142.85,144.624
683,GOOGL,2024-01-04,138.42,139.16,136.35,136.39,27137735.0,0.4862594857437452,GBPUSD,1.26636,1.27298,1.26564,1.26818
684,AAPL,2024-01-03,184.22,185.88,183.43,184.25,58414460.0,1.2863503930515163,EURUSD,1.09414,1.09654,1.08928,1.09215
685,AAPL,2024-01-03,184.22,185.88,183.43,184.25,58414460.0,1.2863503930515163,USDJPY,141.985,143.736,141.854,143.29
686,AAPL,2024-01-03,184.22,185.88,183.43,184.25,58414460.0,1.2863503930515163,GBPUSD,1.26165,1.26766,1.2611,1.26645
687,MSFT,2024-01-03,369.01,373.2562,368.51,370.6,23083465.0,0.7229439582540742,EURUSD,1.09414,1.09654,1.08928,1.09215
688,MSFT,2024-01-03,369.01,373.2562,368.51,370.6,23083465.0,0.7229439582540742,USDJPY,141.985,143.736,141.854,143.29
689,MSFT,2024-01-03,369.01,373.2562,368.51,370.6,23083465.0,0.7229439582540742,GBPUSD,1.26165,1.26766,1.2611,1.26645
690,GOOGL,2024-01-03,137.25,139.63,137.08,138.92,24212147.0,1.8549747048903997,EURUSD,1.09414,1.09654,1.08928,1.09215
691,GOOGL,2024-01-03,137.25,139.63,137.08,138.92,24212147.0,1.8549747048903997,USDJPY,141.985,143.736,141.854,143.29
692,GOOGL,2024-01-03,137.25,139.63,137.08,138.92,24212147.0,1.8549747048903997,GBPUSD,1.26165,1.26766,1.2611,1.26645
693,AAPL,2024-01-02,187.15,188.44,183.885,185.64,82488674.0,0.7544097693351404,EURUSD,1.10438,1.10454,1.0938,1.09416
694,AAPL,2024-01-02,187.15,188.44,183.885,185.64,82488674.0,0.7544097693351404,USDJPY,140.849,142.216,140.799,141.983
695,AAPL,2024-01-02,187.15,188.44,183.885,185.64,82488674.0,0.7544097693351404,GBPUSD,1.27242,1.27599,1.26103,1.26149
696,MSFT,2024-01-02,373.86,375.9,366.771,370.87,25258633.0,0.07285483000538662,EURUSD,1.10438,1.10454,1.0938,1.09416
697,MSFT,2024-01-02,373.86,375.9,366.771,370.87,25258633.0,0.07285483000538662,USDJPY,140.849,142.216,140.799,141.983
698,MSFT,2024-01-02,373.86,375.9,366.771,370.87,25258633.0,0.07285483000538662,GBPUSD,1.27242,1.27599,1.26103,1.26149
699,GOOGL,2024-01-02,138.55,139.45,136.48,138.17,23711220.0,-0.5398790670889775,EURUSD,1.10438,1.10454,1.0938,1.09416
700,GOOGL,2024-01-02,138.55,139.45,136.48,138.17,23711220.0,-0.5398790670889775,USDJPY,140.849,142.216,140.799,141.983
